Merge	YZW	tag_ch	tag_en	group	tag_raw	sup
A1	YZW1	PHG2AA	PHG2AA	A	SS
A2	YZW2	CML171	CML171	B	nonTuxpeno
A3	YZW3	849	0849	others	SS
A4	YZW4	CML531	CML531	others	
A5	YZW5	DK653M	H3659Z	A	SS
A6	YZW6	SP221	SP221	B	热源
A7	YZW7	CML14	CML14	others	Tuxpeno
A8	YZW8	LH123	LH123	others	Lancaster
A9	YZW9	敦玉810母	IN46	A	
A10	YZW10	敦玉810父	Q4_2	B	
A13	YZW11	CML508	CML508	others	
A14	YZW12	CML569	CML569	others	B
A15	YZW13	CML10	CML10	others	Tuxpeno
A16	YZW14	CML559	CML559	others	A
A17	YZW15	TS08	TS08	B	热源
A18	YZW16	QB4122	QB4122	others	Suwan-Lancaster
A19	YZW17	QB5725红	QB5725Red	B	
A20	YZW18	ZNC472	ZNC472	others	热源
A21	YZW19	CML473	CML473	others	nonTuxpeno
A22	YZW20	CML452	CML452	others	B
A23	YZW21	PHW52	PHW52	others	SS
A24	YZW22	M03	M03	A	SS
A25	YZW23	QB4134	QB4134	others	Suwan-Lancaster
A26	YZW24	MZZ	MZZ	B	Lancaster
A27	YZW25	CML495	CML495	others	A
A28	YZW26	农大372父	BA702	B	黄改群
A29	YZW27	丹3140	Dan3140	B	Lancaster
A30	YZW28	ZNC442	ZNC442	B	热源
A31	YZW29	CATETO-HA20303	CATETO_HA20303	others	nonTuxpeno
A32	YZW30	ZH6218	ZH6218	A	Reid-Tuxpeno
A33	YZW31	QB2208	QB2208	B	Suwan
A34	YZW32	CML587	CML587	others	A
A35	YZW33	QR273	QR273	B	Suwan
A37	YZW34	5611	5611	others	热源
A38	YZW35	Q736华玉11母	Q736	A	Reid-Tuxpeno
A39	YZW36	ZT139,先达901母	ZT139	others	热源
A40	YZW37	PH6WC	PH6WC	A	SS
A41	YZW38	热抗67	RK67	B	nonTuxpeno
A42	YZW39	PH1N2D	PH1N2D	B	
A43	YZW40	ID09	ID09	B	Iodent
A44	YZW41	DK6361母	DK6361Mu	others	SS
A45	YZW42	DK008父	T3261	others	
A46	YZW43	CML514	CML514	others	B
A47	YZW44	沃玉3号母	M51	A	X群
A48	YZW45	敦玉735母	GS692	others	Reid-Tuxpeno
A49	YZW46	赞S122改	ZS122gai	others	nonTuxpeno
A50	YZW47	CML520	CML520	others	A
A51	YZW48	CML523	CML523	others	AB
A52	YZW49	QB1013	QB1013	A	X群
A53	YZW50	CML563_X	CML563_X	others	
A54	YZW51	S909_X	S909_X	others	Suwan
A55	YZW52	CML577_X	CML577_X	others	B
A56	YZW53	CML445_X	CML445_X	others	AB
A58	YZW54	先1707母_X	XY1707m_X	others	SS
A59	YZW55	CML421_X	CML421_X	others	B
A61	YZW56	QB4122_X	QB4122_X	others	
A63	YZW57	CML538_X	CML538_X	others	A
A64	YZW58	BY70_X	BY70_X	others	
A69	YZW59	CML488	CML488	others	AB
A70	YZW60	XY6203	XY6203	A	X群
A71	YZW61	50612	50612	B	Suwan
A72	YZW62	BY33	BY33	others	
A73	YZW63	QB7855	QB7855	A	Reid-Tuxpeno
A74	YZW64	ZH05	ZH05	others	SS
A75	YZW65	QB7872	QB7872	others	Reid-Tuxpeno
A76	YZW66	CML532	CML532	others	
A77	YZW67	T1932	T1932	A	SS
A79	YZW68	T2015	T2015	A	SS
A80	YZW69	裕丰303母	CT1669	A	SS
A81	YZW70	YA8204	YA8204	B	热源
A82	YZW71	ZH6217	ZH6217	others	Reid-Tuxpeno
A83	YZW72	浚6968	Xun6968	A	SS
A85	YZW73	21D1707	21D1707	others	
A86	YZW74	7031	7031	others	nonTuxpeno
A87	YZW75	W1707	W1707	A	SS
A88	YZW76	AMD407	AMD407	others	
A89	YZW77	QB191	QB191		
A90	YZW78	PH4CV	PH4CV	B	NSS
A91	YZW79	CML569	CML569	others	B
A92	YZW80	CML312	CML312	others	A
A93	YZW81	QB1148	QB1148	A	X群
A94	YZW82	先达903父	np5203	others	热源
A95	YZW83	先111父	PH1CRW	B	Lancaster
A97	YZW84	余840	Yu840	others	SS
A98	YZW85	DH605母	DH351	A	Reid
A99	YZW86	CML518	CML518	others	A
A100	YZW87	21D1709	21D1709	others	
A101	YZW88	CML554	CML554	others	A
A102	YZW89	T4691	T4691	others	
A103	YZW90	SD620	SD620	B	Lancaster
A104	YZW91	AMD397	AMD397	others	
A105	YZW92	CML103	CML103	others	Tuxpeno
A106	YZW93	先玉045父	PHRKB	others	Lancaster
A112	YZW94	EY764	EY764	A	SS
A113	YZW95	桂A0341	GuiA10341	B	热源
A117	YZW96	敦玉735父	DSQ4	others	
A119	YZW97	东单1331母	XC2327	A	X群
A122	YZW98	J5	J5	others	SS
A123	YZW99	J6	J6	others	SS
A124	YZW100	J8	J8	others	SS
A125	YZW101	J12	J12	others	SS
A126	YZW102	J13	J13	others	SS
A127	YZW103	J19	J19	others	SS
A128	YZW104	J22	J22	others	SS
A129	YZW105	J23	J23	others	SS
A130	YZW106	J25	J25	others	SS
A131	YZW107	J27	J27	others	SS
A132	YZW108	J31	J31	others	SS
A133	YZW109	J32	J32	others	SS
A134	YZW110	J38	J38	others	SS
A135	YZW111	J39	J39	others	SS
A137	YZW112	CML037	CML037	others	ETO
A138	YZW113	CML038	CML038	others	ETO
A139	YZW114	CML039	CML039	others	ETO
A140	YZW115	QB5746-2	QB5746_2	B	Suwan-Iodent
A142	YZW116	桂39722	Gui39722	others	热源
A143	YZW117	T4565	T4565	others	
A144	YZW118	Y227丰乐520母	Y227	others	黄改群
A145	YZW119	QB8892自改	QB8892_zigai	others	Reid-Tuxpeno
A146	YZW120	中农大689母	ZND689Mu	others	SS
A147	YZW121	敦玉810母	DY810Mu	others	Reid-Tuxpeno
A148	YZW122	M65（刘强）	M65_LQ	others	
A149	YZW123	丰乐520父	NG8708	B	黄改群
A150	YZW124	T4575	T4575	others	
A151	YZW125	QB662	QB662	others	X群
A152	YZW126	QB9219	QB9219	others	Reid-Tuxpeno
A153	YZW127	农系532	NX532	others	
A154	YZW128	QB7860	QB7860	A	Reid-Tuxpeno
A155	YZW129	QB5746红	QB5746Red	others	Suwan-Iodent
A156	YZW130	禾玉808M	HY808M	others	
A157	YZW131	QB4552	QB4552	others	Reid-Tuxpeno
A158	YZW132	QB2182	QB2182	others	Suwan
unknown_1	YZW133	S611	S611		
B167	YZW134	T32	T32	others	Suwan
B173	YZW135	齐系5101	Qixi5101	others	
B185	YZW136	S122	S122	others	NSS
B188	YZW137	C116A	C116A	B	黄改群
B190	YZW138	昌7-2	Chang7_2	B	黄改群
unknown_2	YZW139	QB7847	QB7847		
GX1_6	YZW140	JingB547	JingB547	A	X群
GX1_7	YZW141	LB6203	LB6203	others	X群
GX1_15	YZW142	5818	5818	A	改良Reid
GX2_51	YZW143	QB7971	QB7971	others	SS
GX1_37	YZW144	5746White	5746White	others	Suwan-Iodent
GX1_38	YZW145	AMD412	AMD412	others	
GX1_53	YZW147	Jing92	Jing92	B	黄改群
GX1_68	YZW148	Jing2416	Jing2416	B	黄改群
GX1_69	YZW149	Suai	Suai	others	Suwan-Iodent
GX1_70	YZW150	QB6231/S611	QB6231/S611	others	
GX1_71	YZW151	M65/Q6231	M65/Q6231	others	
GX1_78	YZW152	849	0849	others	
GX1_80	YZW153	SL3C	SL3C	others	Suwan-Lancaster
GX1_81	YZW154	Yudan898m	T7511	A	SS
GX1_82	YZW155	T856	T856	B	黄改群
GX1_83	YZW156	Pob_32	Pob_32	others	NonTuxpeno
GX1_85	YZW157	QB1148/5910 DH-3	QB1148/5910 DH-3	others	
GX1_110	YZW159	MB1_ZTQ	MB1_ZTQ	others	Tuxpeno
GX1_111	YZW160	Mo22D	Mo22D	others	Tuxpeno
GX1_112	YZW161	Tu	Tu	others	Tuxpeno
GX1_113	YZW162	122Red	122Red	others	nonTuxpeno
GX1_114	YZW163	Mo40_1D	Mo40_1D	others	Tuxpeno
GX1_115	YZW164	M126_2	M126_2	others	
GX1_116	YZW165	DWS	DWS	others	热源
GX1_117	YZW166	ZM181	ZM181	others	Tuxpeno
GX1_118	YZW167	Qing122	Qing122	others	nonTuxpeno
GX1_119	YZW168	MB1_ZTY	MB1_ZTY	others	Tuxpeno
GX1_121	YZW169	Momu	Momu	others	Tuxpeno
GX1_122	YZW170	mo132_1	mo132_1	others	Suwan-Iodent
GX1_123	YZW171	Yudan898F	Yudan898F	others	Tuxpeno
GX1_126	YZW173	DK653F	G4675Z	others	黄改群
GX1_127	YZW174	Dongdan1331F	XB1621	others	Iodent
GX1_128	YZW175	Su95_1	Su95_1	others	黄旅
GX1_130	YZW176	DH605F	DH605Mu	others	Suwan
GX1_132	YZW177	CatetoF2_13	CatetoF2_13	others	nonTuxpeno
GX1_133	YZW178	NG5	NG5	others	X群
GX1_134	YZW179	L7221	L7221	others	
GX1_137	YZW180	T4575	T4575	others	
GX1_140	YZW182	L239	L239	A	PA
GX1_142	YZW184	735F	735F	others	
GX1_143	YZW185	Zheng58	Zheng58	others	Reid
GX1_144	YZW186	CT3354	CT3354	others	Lancaster
GX1_145	YZW187	T4575	T4575	others	
GX1_146	YZW188	L711	L711	others	
GX1_147	YZW189	LP04	LP04	others	
GX1_148	YZW190	L719	L719	B	黄改群
GX1_149	YZW191	Q196	Q196	others	SS
GX1_150	YZW192	AH319/7855	AH319/7855	others	
GX1_152	YZW193	Jing724	Jing724	A	X群
GX1_155	YZW194	QB197	QB197	others	Lancaster
GX1_156	YZW195	CAMA230	CAMA230	A	SS
GX2_76	YZW196	CAVB109	CAVB109	others	
GX2_77	YZW197	CAVA119	CAVA119	others	
GX2_78	YZW198	AF027_DH035	AF027_DH035	B	Iodent
GX2_79	YZW199	AF040_DH019	AF040_DH019	others	
GX2_80	YZW200	AF041_DH069	AF041_DH069	A	SS
GX2_81	YZW201	AF042_DH003	AF042_DH003	A	SS
GX2_82	YZW202	AF059_DH307	AF059_DH307	B	
24ZZ865	YZW203	QB5910	QB5910		
24ZZ866	YZW204	Q6213	Q6213		
24ZZ867	YZW205	QB5725White	QB5725White		
24ZZ868	YZW206	QB7874	QB7874		
24ZZ869	YZW207	657T111111U	657T111111U		
24ZZ870	YZW208	679T2611	679T2611		
24ZZ856	YZW209	豫1122	Yu1122	A	